Hashtag,Frequency
legislativas2024,57
Legislativas2024,29
Portugal,5
Legislativas24,3
legislativas,3
eleicoes,2
Eleicoes2024,2
eleicoes2024,1
IniciativaLiberal,1
voto,1
Eleições2024,1
claudioramos,1
votar,1
PAN,1
Costa,1
Livre,1
CDU,1
Ad,1
IL,1
PS,1
CHEGA,1
EleicoesPortugal,1
eleicoeslegislativas,1
idccdi,1
MiguelGuimarães,1
PSD,1
SNS,1
ps,1
